current_name,steamid64,oz_id,c180,c31,c7
catfish,76561198028763506,96,3,0,0
ceekay,76561198276376906,551,3,0,0
freesheep,76561198055313748,1140,3,0,0
golden,76561198082713023,3806,3,2,0
lillybit_0,76561199112716868,4708,3,0,0
mackeyy,76561198086178920,4164,3,0,0
mayo,76561198332925604,1931,3,0,0
melvin,76561198350625761,5544,3,0,0
mgm,76561198078497266,3220,3,0,0
minaaj,76561198403965385,5235,3,0,0
monolith,76561198157810897,2553,3,1,0
pc,76561198290269128,1234,3,0,0
soIay,76561199829094238,4523,3,0,0
tracker ˄˅ lft,76561198046911616,4325,3,0,0
violet,76561199061074522,3493,3,1,0
wilsonoid,76561198117984855,598,3,0,0
wysm,76561199005591075,5425,3,3,1
ziah,76561198159375596,4395,3,1,1
♥,76561198366888843,2475,3,0,0
♥ lit.fam ♥,76561198130017335,3464,3,0,0
4B,76561198154708043,3494,2,0,0
Apollyon,76561198347418251,4496,2,0,0
Appcap,76561198385624950,5333,2,0,0
Banana,76561198095278714,1548,2,0,0
Benpl,76561198084890757,4863,2,0,0
Broken.,76561198209118916,1593,2,0,0
Content,76561198944781480,4217,2,2,0
Corn,76561198086465847,3984,2,0,0
FREETIMSIMON,76561198376383989,2387,2,1,0
Fossil,76561198113377363,5512,2,0,0
Frager,76561198323411853,3169,2,0,0
JYNACCI,76561198100942212,4021,2,1,0
June,76561199397549660,5805,2,0,0
Liko,76561197994660517,1012,2,0,0
Mercicrux,76561199103168245,5208,2,1,0
Nubbi,76561198140608606,1530,2,0,0
Pauthen,76561198834810229,3237,2,0,0
Rayno ♪,76561198165428665,4005,2,1,0
Ryisuh,76561198885661109,5371,2,0,0
Sarkreez,76561198931708958,3870,2,0,0
Sherlock,76561198447354401,3125,2,0,0
Stamm,76561198041993019,3747,2,2,1
Stübby,76561198131423270,5370,2,0,0
Tanith,76561198104979519,1403,2,0,0
TiRa,76561198090259736,5767,2,1,0
W.,76561198097420050,3337,2,1,0
WinterPizza850,76561199043352840,4369,2,2,0
ZeroS,76561198175202282,3433,2,0,0
a team of ants in their prime,76561198061794470,1561,2,2,0
amnok,76561198066752804,4104,2,1,1
au falcon lover,76561198965333020,4847,2,0,0
benguin,76561198144209930,4974,2,0,0
bluR,76561198060624229,1866,2,0,0
bobb0,76561198060389699,4858,2,0,0
bobby,76561198139522334,3414,2,0,0
branslam,76561198067295068,5832,2,1,0
clynic,76561198016233021,3600,2,1,0
cooki,76561198047591316,86,2,0,0
croppy,76561199388029472,4446,2,0,0
darklord,76561197960957575,2316,2,2,0
dingathy,76561199004835743,5815,2,0,0
eurus,76561199224539158,3842,2,0,0
exXxposed,76561198048691505,327,2,0,0
fatpizza,76561198965919122,2477,2,0,0
feyn,76561198065382839,198,2,0,0
flaK,76561199078847021,5243,2,0,0
froglvvr,76561199422361258,4817,2,0,0
frosted,76561199022395188,5447,2,0,0
haruka,76561199538575752,5581,2,0,0
humble,76561199158854365,5870,2,0,0
juliangonzales2009@yahoo.com,76561199232111143,5292,2,0,0
leo.,76561198342338137,5118,2,0,0
night,76561198109506971,3182,2,0,0
norbit the plug,76561198083712388,2505,2,0,0
odin,76561198798387897,3817,2,0,0
pistol,76561198402562515,2780,2,0,0
psyco,76561198126477668,391,2,1,0
rain,76561198071365493,372,2,1,0
reign,76561198295660337,3238,2,0,0
rill,76561198057133119,1630,2,0,0
rither,76561199467328937,5061,2,2,0
saint,76561198049911751,4375,2,0,0
sao,76561198137286565,216,2,0,0
silent*,76561198134745557,1361,2,0,0
stargazer,76561198208280527,4530,2,0,0
starlink,76561198257076082,2267,2,0,0
strikerrr,76561198066813088,1924,2,1,0
therealweiner,76561198083975056,4569,2,0,0
typo.,76561198397355790,2679,2,2,1
wilson brown,76561198071570164,4805,2,0,0
woozy,76561198442198135,4054,2,0,0
xobile,76561198017283362,2835,2,0,0
yuzu,76561198251074790,3360,2,0,0
zuzo_73,76561197976427916,3187,2,0,0
AJ,76561198061261433,4895,1,1,0
ALo,76561199470255193,5787,1,0,0
ARISSS,76561198398068116,4471,1,0,0
Adrian,76561198374836884,2361,1,0,0
Alpine,76561198096251579,3751,1,0,0
Andyroo,76561198190219918,1550,1,0,0
Bloodfeud,76561198223144960,3218,1,1,0
Brady,76561198122554260,140,1,0,0
C. Taunts,76561198287607616,5963,1,1,0
CEO of Cope,76561198867766385,5057,1,0,0
Charlie,76561198003275802,2112,1,1,0
D0S1K0W,76561198397892856,3167,1,1,0
Destiny,76561197981261350,1496,1,0,0
Dr. Worm,76561198080301085,3261,1,0,0
EVIL GOON,76561198128711847,1669,1,0,0
Evelynn,76561198151590202,1654,1,0,0
FIN,76561198384791097,3972,1,0,0
GUNWR0NG,76561198089589468,2889,1,0,0
Ghosty™,76561198072165695,1736,1,0,0
Glitchy,76561198080270303,5193,1,0,0
GreenShaDow,76561198332240680,3705,1,1,0
HUNGRY.4.EGGS,76561198075931595,1484,1,0,0
Jackathan,76561198315505858,456,1,0,0
JelIojiggler,76561199058981206,5675,1,0,0
JuiceForyou,76561198305359085,2664,1,0,0
Jukesy #For Nicholas,76561199136910514,5189,1,1,0
Kohioo.,76561198253797901,2283,1,0,0
L0RD 8071CU5 0F 80T5W4N4,76561198139444147,1901,1,0,0
Marv,76561198042599456,3012,1,0,0
Meti ♥,76561198096749316,1505,1,0,0
Midside,76561198045732930,2042,1,0,0
Migz,76561198238269314,3714,1,0,0
Mugen,76561198241447874,4917,1,0,0
NEBU!A,76561198431725617,5185,1,0,0
Not Steven,76561198051881261,2507,1,0,0
Owlfy,76561199073919459,4890,1,0,0
PILLS!,76561198315362212,5920,1,1,1
Polar,76561198155913634,5848,1,0,0
Ponz,76561199405832352,5482,1,0,0
Rei,76561198128963129,370,1,0,0
SOOOOOAPYMEiSTER,76561198049378596,3551,1,0,0
Scarlllyyy.,76561198156852158,5586,1,0,0
Sean,76561198002921833,50,1,0,0
Sessal,76561198046513287,460,1,0,0
Shardev,76561198408154036,4257,1,0,0
ShuZ,76561197970805594,4881,1,0,0
Socolin,76561198354095546,4896,1,1,0
Square Bread,76561198155015614,4425,1,0,0
Vodlob,76561199111638862,5380,1,0,0
Winter,76561198111611503,3731,1,1,0
YkjR,76561198825185244,3666,1,1,1
Zeroh,76561198026048882,5153,1,0,0
Zinger Stacker Burger Box,76561198026647567,1416,1,0,0
_YEE,76561198044040744,5238,1,1,0
a Jerry Can,76561199405735306,5638,1,0,0
anna,76561198011579287,477,1,0,0
berdo,76561198152744893,4338,1,0,0
bobo,76561198156622144,4032,1,0,0
bongo johnny2,76561198913361211,2614,1,0,0
boyfri3nd,76561198275007120,1421,1,0,0
cRs.,76561197961484646,5171,1,0,0
camm,76561198323423508,595,1,1,0
chimes,76561198876360694,2244,1,1,0
chongy,76561198016239746,642,1,0,0
cow,76561199013868471,5421,1,0,0
cr.,76561197993508562,3171,1,0,0
crese,76561198194062387,5912,1,0,0
dax.,76561198321885643,3341,1,0,0
deemore,76561198306959841,3387,1,0,0
donna,76561198142660305,2648,1,0,0
doo,76561199088864128,3827,1,0,0
dracomm,76561198163331656,1034,1,0,0
durga,76561199074574744,5186,1,0,0
eeur,76561199019601193,2983,1,0,0
ethaaaaan,76561198132637556,3335,1,0,0
evelyn (beanie fan),76561198107733201,4388,1,0,0
exile,76561198047813960,2606,1,0,0
fam,76561198110654535,4209,1,0,0
h0tSnack,76561198176405094,2585,1,0,0
homer,76561198842869099,3542,1,0,0
jak0b,76561198195519834,4463,1,0,0
jayhyunpae,76561198049461668,2605,1,0,0
jennierubyjane,76561198132062150,679,1,0,0
jiby,76561198317772389,5869,1,0,0
jkc_S,76561199119190911,4952,1,0,0
korra,76561198131231278,4697,1,0,0
lau,76561198045451991,190,1,0,0
lynn2822,76561198110046630,3797,1,0,0
monti,76561198079873281,1286,1,0,0
myyyst,76561198127717925,145,1,1,0
n4ver,76561198056629020,1169,1,0,0
oro,76561198044421445,878,1,1,0
perfection,76561198165249595,883,1,0,0
potmonger377,76561199217407346,4393,1,0,0
quay,76561198063281155,2262,1,0,0
raisin,76561199168887711,4931,1,1,0
ralon,76561198349949683,5600,1,0,0
reero,76561198071785065,2162,1,0,0
remorse,76561198093263253,232,1,0,0
riotbz,76561198065169685,19,1,1,0
sageEU,76561198011988825,1316,1,0,0
silk,76561198073759554,5650,1,0,0
sjalamin,76561198803840548,4615,1,0,0
sle_epy,76561198051083025,3257,1,1,0
snake eater,76561198182862426,4620,1,0,0
sneetlesnackhabinz,76561199201241128,4484,1,0,0
spunchbob3,76561198349542950,1184,1,1,0
sucwubz,76561198345900420,4076,1,0,0
susu,76561198117660949,2089,1,0,0
swag,76561198353624092,5673,1,0,0
teejay,76561198040346178,27,1,0,0
terrybel,76561198055553140,5543,1,0,0
thethingy,76561198179045463,1309,1,0,0
todd,76561198033475102,4857,1,0,0
ubi,76561198098956650,948,1,0,0
var,76561198164892406,3799,1,0,0
wess,76561198067238978,5588,1,0,0
xav,76561198132561543,319,1,0,0
yeetingbaby,76561199011454860,4368,1,0,0
yourstruly,76561198017996650,1077,1,0,0
zias,76561198333000396,2286,1,0,0
ziɢռotioռ,76561198225715416,3251,1,0,0
zulvan,76561198370283133,5875,1,0,0
✨SilvAR✨,76561198355333388,5746,1,1,0
✿ lilbootycall ✿,76561198018793342,1274,1,0,0
❄Pooter❄,76561198272969591,5838,1,0,0
